Title,Year,Type,Released,Runtime(in mins),Genre,Director,Language,Country,Production,Awards,Nominations,Wins,IMDB Rating,Rotten Tomatoes,Metacritic,Metascore,imdbVotes,BoxOffice,Multigenre,Multilanguage,Multicompany,Multicountry
Movie Movie,1978,movie,04 Jan 1979,105,"Comedy, Musical, Sport",Stanley Donen,English,"United States, United Kingdom",N/A,3 wins & 10 nominations,10,3,6.4,N/A,N,N/A,"1,290",N/A,Yes,No,No,Yes
Blue Movie,1978,movie,10 Aug 1978,81,"Horror, Thriller",Alberto Cavallone,Italian,Italy,N/A,N/A,0,0,4.6,N/A,N,N/A,355,N/A,Yes,No,No,No
The Punk Rock Movie from England,1978,movie,09 Jun 1978,86,"Documentary, Music",Don Letts,English,United Kingdom,N/A,N/A,0,0,6.6,N/A,N,N/A,308,N/A,Yes,No,No,No
Gatchaman The Movie,1978,movie,15 Jul 1978,110,"Animation, Action, Adventure",Hisayuki Toriumi,Japanese,Japan,N/A,1 win & 2 nominations,2,1,6.4,N/A,N,N/A,84,N/A,Yes,No,No,No
Father Movie,1978,movie,N/A,7,Short,Gordon Ball,N/A,United States,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
Episode 61: &quot;Animal House&quot; (1978) Movie Review,1978,movie,21 Dec 2017,N/A,Talk-Show,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
Halloween (1978)/The Royal Tenenbaums (2001) - 34 Movie Buff Specialists (Ep 67),1978,movie,15 Jul 2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
Still Movie,1978,movie,N/A,3,Short,Yôichi Nagata,N/A,Japan,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
D.G. Movie Pioneer,1978,movie,N/A,N/A,Documentary,Kalpana Lajmi,English,India,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
The Muppet Movie,1979,movie,22 Jun 1979,95,"Adventure, Comedy, Family",James Frawley,English,"United Kingdom, United States",N/A,Nominated for 2 Oscars. 4 wins & 11 nominations total,11,4,7.6,89%,74,74,"40,038","$65,810,475",Yes,No,No,Yes
The Bugs Bunny/Road-Runner Movie,1979,movie,28 Sep 1979,98,"Animation, Comedy, Family","Chuck Jones, Phil Monroe, Maurice Noble",English,United States,N/A,1 nomination,1,0,7.3,100%,N,N/A,"4,543",N/A,Yes,No,No,No
The Space Movie,1979,movie,17 Nov 1980,78,Documentary,Tony Palmer,English,United States,N/A,N/A,0,0,7.2,N/A,N,N/A,102,N/A,No,No,No,No
Almost a Movie,1979,movie,05 Mar 1979,48,Crime,Michael J. Murphy,English,United Kingdom,N/A,N/A,0,0,N/A,N/A,N,N/A,54,N/A,No,No,No,No
Track Stars.: The Unseen Heroes of Movie Sound,1979,movie,N/A,8,"Documentary, Short",Terry Burke,English,Canada,N/A,4 nominations,4,0,7.9,N/A,N,N/A,35,N/A,Yes,No,No,No
Ida Makes a Movie,1979,movie,12 Sep 1979,23,"Family, Short","Kit Hood, Linda Schuyler",English,Canada,N/A,N/A,0,0,7.6,N/A,N,N/A,16,N/A,Yes,No,No,No
Shimoochiai Yakitori Movie,1979,movie,23 Jun 1979,86,Comedy,Shinya Yamamoto,Japanese,Japan,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
The Image Maker and the Indians: E. S. Curtis and His 1914 Kwakiutl Movie,1979,movie,04 Sep 1979,16,"Documentary, Short",N/A,English,United States,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,Yes,No,No,No
William Shakespeare: The Movie,1979,movie,N/A,N/A,Short,Sam Raimi,English,United States,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
Cheech and Chong's Next Movie,1980,movie,18 Jul 1980,99,"Comedy, Crime",Tommy Chong,English,United States,N/A,1 nomination,1,0,6.0,N/A,66,66,"15,160","$41,675,194",Yes,No,No,No
The Gong Show Movie,1980,movie,23 May 1980,89,Comedy,Chuck Barris,English,United States,N/A,N/A,0,0,4.4,N/A,N,N/A,943,"$6,621,520",No,No,No,No
The Making of Superman: The Movie,1980,movie,N/A,52,Documentary,Iain Johnstone,English,United Kingdom,N/A,N/A,0,0,7.0,N/A,N,N/A,161,N/A,No,No,No,No
Denshi Sentai Denjiman: The Movie,1980,movie,12 Jul 1980,N/A,"Action, Sci-Fi",N/A,Japanese,Japan,N/A,N/A,0,0,6.4,N/A,N,N/A,53,N/A,Yes,No,No,No
From the Apennines to the Andes: The Movie,1980,movie,19 Jul 1980,107,"Animation, Adventure, Drama",Isao Takahata,Japanese,Japan,N/A,N/A,0,0,7.6,N/A,N,N/A,44,N/A,Yes,No,No,No
Ann-Margret: Hollywood Movie Girls,1980,movie,03 May 1980,90,"Comedy, Music",Dwight Hemion,English,United States,N/A,Nominated for 1 Primetime Emmy. 1 nomination total,1,0,8.1,N/A,N,N/A,22,N/A,Yes,No,No,No
The American Movie Awards,1980,movie,11 Feb 1980,N/A,N/A,N/A,English,USA,N/A,N/A,0,0,5.8,N/A,N,N/A,16,N/A,No,No,No,No
Making Xanadu: The Musical Fantasy Movie,1980,movie,01 Aug 1980,23,"Documentary, Fantasy, Musical",Alan Metter,English,United States,N/A,N/A,0,0,6.6,N/A,N,N/A,15,N/A,Yes,No,No,No
The Funniest Movie,1980,movie,25 Apr 1980,91,N/A,Chun-Liang Chen,Mandarin,"Taiwan, Hong Kong",N/A,N/A,0,0,6.0,N/A,N,N/A,8,N/A,No,No,No,Yes
Class Project: The Garbage Movie,1980,movie,N/A,23,Short,Martin Defalco,N/A,Canada,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
"The Looney, Looney, Looney Bugs Bunny Movie",1981,movie,20 Nov 1981,79,"Animation, Comedy, Crime",Friz Freleng,English,United States,N/A,N/A,0,0,7.1,N/A,N,N/A,"2,666",N/A,Yes,No,No,No
Great Movie Stunts: Raiders of the Lost Ark,1981,movie,05 Oct 1981,48,"Documentary, Action",Robert Guenette,English,United States,N/A,Nominated for 3 Primetime Emmys. 1 win & 3 nominations total,3,1,8.0,N/A,N,N/A,167,N/A,Yes,No,No,No
Kamen Rider Super-1: The Movie,1981,movie,14 Mar 1981,46,"Action, Adventure, Drama",N/A,Japanese,Japan,N/A,N/A,0,0,5.4,N/A,N,N/A,98,N/A,Yes,No,No,No
Elvira's Movie Macabre: Count Dracula's Great Love,1981,movie,01 Jan 1981,98,N/A,N/A,N/A,N/A,N/A,N/A,0,0,5.6,N/A,N,N/A,42,N/A,No,No,No,No
Elvira's Movie Macabre: The Devil's Wedding Night,1981,movie,01 Jan 1981,99,N/A,N/A,N/A,N/A,N/A,N/A,0,0,6.6,N/A,N,N/A,41,N/A,No,No,No,No
Making a Monster Movie: Inside 'the Howling',1981,movie,26 Aug 2003,8,"Documentary, Short",Mick Garris,English,United States,N/A,N/A,0,0,5.3,N/A,N,N/A,19,N/A,Yes,No,No,No
Superbman: The Other Movie,1981,movie,01 Jan 1981,30,"Short, Comedy",Dave Teubner,English,United States,N/A,N/A,0,0,7.5,N/A,N,N/A,18,N/A,Yes,No,No,No
The Juggling Movie,1981,movie,01 Jun 1981,10,Short,Patrick Melly,English,United States,N/A,2 wins,0,2,3.5,N/A,N,N/A,7,N/A,No,No,No,No
The Pirate Movie,1982,movie,06 Aug 1982,98,"Adventure, Comedy, Musical","Ken Annakin, Richard Franklin",English,Australia,N/A,3 wins & 9 nominations,9,3,5.4,9%,19,19,"4,896","$7,983,086",Yes,No,No,No
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,1982,movie,19 Nov 1982,74,"Animation, Adventure, Comedy","Friz Freleng, Chuck Jones, Robert McKimson",English,United States,N/A,N/A,0,0,7.0,N/A,N,N/A,"2,269","$78,350",Yes,No,No,No
Movie Madness,1982,movie,23 Apr 1982,89,Comedy,"Bob Giraldi, Henry Jaglom",English,United States,N/A,N/A,0,0,3.2,0%,N,N/A,"1,361","$63,405",No,No,No,No
Ebba the Movie,1982,movie,14 May 1982,78,"Documentary, Music",Johan Donner,Swedish,Sweden,N/A,N/A,0,0,6.7,N/A,N,N/A,254,N/A,Yes,No,No,No
The Slog Movie,1982,movie,01 Sep 1982,59,"Documentary, Music",David Markey,English,United States,N/A,N/A,0,0,8.1,N/A,N,N/A,93,N/A,Yes,No,No,No
E.T. and Friends: Magical Movie Visitors,1982,movie,14 Dec 1982,46,Documentary,"Malcolm Leo, Andrew Solt",English,United States,N/A,N/A,0,0,7.5,N/A,N,N/A,66,N/A,No,No,No,No
Electric Blue the Movie,1982,movie,01 Mar 1982,96,Comedy,Adam Cole,English,United Kingdom,N/A,N/A,0,0,5.2,N/A,N,N/A,43,N/A,No,No,No,No
Six God Combination God Mars: The Movie,1982,movie,18 Dec 1982,95,"Animation, Action, Sci-Fi",Tetsuo Imazawa,Japanese,Japan,N/A,N/A,0,0,6.1,N/A,N,N/A,34,N/A,Yes,No,No,No
Snow: The Movie,1982,movie,13 Jun 1982,85,Comedy,Robert Gibson,English,Australia,N/A,N/A,0,0,5.2,N/A,N,N/A,30,N/A,No,No,No,No
Dai Sentai Goggle V: The Movie,1982,movie,13 Mar 1982,27,"Short, Action",Shohei Tôjô,Japanese,Japan,N/A,N/A,0,0,6.3,N/A,N,N/A,24,N/A,Yes,No,No,No
Twilight Zone: The Movie,1983,movie,24 Jun 1983,101,"Horror, Sci-Fi","Joe Dante, John Landis, George Miller","English, French, German, Vietnamese",United States,N/A,1 win & 8 nominations,8,1,6.4,60%,44,44,"41,964","$29,450,919",Yes,Yes,No,No
Hot Dog... The Movie,1983,movie,13 Jan 1984,96,"Comedy, Romance, Sport",Peter Markle,English,United States,N/A,N/A,0,0,5.1,N/A,39,39,"4,086","$20,307,325",Yes,No,No,No
Daffy Duck's Movie: Fantastic Island,1983,movie,05 Aug 1983,78,"Family, Animation, Comedy","Friz Freleng, Chuck Jones, Robert McKimson",English,United States,N/A,N/A,0,0,6.9,N/A,N,N/A,"2,225",N/A,Yes,No,No,No
Burroughs: The Movie,1983,movie,11 Apr 1984,90,"Documentary, Biography",Howard Brookner,English,United States,N/A,N/A,0,0,7.0,N/A,N,N/A,827,N/A,Yes,No,No,No
Crusher Joe: The Movie,1983,movie,N/A,132,"Action, Animation, Sci-Fi","Yoshikazu Yasuhiko, Jim Terry",Japanese,Japan,N/A,N/A,0,0,7.0,N/A,N,N/A,368,N/A,Yes,No,No,No
Kagaku Sentai Dynaman the Movie,1983,movie,13 Mar 1983,26,Short,Shohei Tôjô,Japanese,Japan,N/A,N/A,0,0,7.7,N/A,N,N/A,15,N/A,No,No,No,No
Movie Blockbusters: The 15 Greatest Hits of All Time,1983,movie,24 May 1983,N/A,Documentary,Walter C. Miller,English,USA,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
Movie Star Commercials and Important Messages,1983,movie,N/A,73,"Documentary, Animation, Comedy, History",N/A,English,USA,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,Yes,No,No,No
Twilight Zone: The Movie (1983) (Live),1983,movie,27 Jan 2021,N/A,Comedy,Phoenix West,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
Holly - The Movie,1984,movie,13 Jul 1984,85,"Comedy, Drama, Romance","Xaver Schwarzenberger, Otto Waalkes",German,"West Germany, United States, United Kingdom, Canada",N/A,4 wins & 1 nomination,1,4,6.4,N/A,N,N/A,"4,686",N/A,Yes,No,No,Yes
"Kerouac, the Movie",1984,movie,06 Sep 1985,78,"Documentary, Biography, Drama",John Antonelli,English,United States,Daybreak Productions,1 nomination,1,0,6.8,N/A,N,N/A,226,N/A,Yes,No,No,No
Supergirl: The Making of the Movie,1984,movie,N/A,60,Documentary,Peter Hollywood,English,United States,N/A,N/A,0,0,5.4,N/A,N,N/A,93,N/A,No,No,No,No
The Slim Dusty Movie,1984,movie,18 Oct 1984,107,"Documentary, Biography, Drama",Rob Stewart,English,Australia,N/A,N/A,0,0,7.3,N/A,N,N/A,34,N/A,Yes,No,No,No
"Lovingly Yours, Helen (The Movie)",1984,movie,19 Jul 1984,N/A,"Comedy, Drama, Horror",Argel Joseph,"Filipino, Tagalog, English",Philippines,N/A,2 nominations,2,0,5.4,N/A,N,N/A,20,N/A,Yes,Yes,No,No
Pirata! Cult Movie,1984,movie,01 Sep 1984,95,Sci-Fi,Paolo Ricagno,Italian,Italy,N/A,N/A,0,0,7.7,N/A,N,N/A,12,N/A,No,No,No,No
Space Cop Shaider: The Movie,1984,movie,14 Jul 1984,N/A,N/A,N/A,Japanese,Japan,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
Chodenshi Baioman the Movie,1984,movie,14 Jul 1984,N/A,"Adventure, Fantasy, Sci-Fi",Nagafumi Hori,Japanese,Japan,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,Yes,No,No,No
The Care Bears Movie,1985,movie,29 Mar 1985,77,"Animation, Adventure, Comedy","Arna Selznick, Jay Miller, Dick Schneider",English,"Canada, United States, Taiwan, South Korea",N/A,1 win & 2 nominations,2,1,5.6,N/A,46,46,"5,965","$22,934,622",Yes,No,No,Yes
Grunt! The Wrestling Movie,1985,movie,30 Nov 1985,90,"Comedy, Crime, Mystery",Allan Holzman,English,United States,N/A,N/A,0,0,5.2,N/A,N,N/A,332,N/A,Yes,No,No,No
Captain Tsubasa Movie 02 - Attention! The Japanese Junior Selection,1985,movie,21 Dec 1985,60,"Animation, Family, Sport",Hiroyoshi Mitsunobu,Japanese,Japan,N/A,N/A,0,0,7.1,N/A,N,N/A,130,N/A,Yes,No,No,No
Worm Movie,1985,movie,N/A,2,Short,Lung Leg,N/A,United States,N/A,N/A,0,0,6.6,N/A,N,N/A,44,N/A,No,No,No,No
Santa Claus: The Making of the Movie,1985,movie,N/A,50,"Documentary, Family","Danny Huston, Iain Johnstone",English,United Kingdom,N/A,N/A,0,0,7.2,N/A,N,N/A,42,N/A,Yes,No,No,No
Don't Scream: It's Only a Movie!,1985,movie,N/A,85,"Documentary, Horror",Ray Selfe,English,United Kingdom,N/A,N/A,0,0,6.5,N/A,N,N/A,32,N/A,Yes,No,No,No
Cool Runnings: The Reggae Movie,1985,movie,01 Apr 1985,105,"Documentary, Music",Robert Mugge,English,Jamaica,N/A,N/A,0,0,5.9,N/A,N,N/A,11,N/A,Yes,No,No,No
Katotohanan o guniguni? The Movie Part II,1985,movie,N/A,N/A,"Drama, Fantasy, Horror, Thriller",Jose Miranda Cruz,"Filipino, Tagalog",Philippines,N/A,N/A,0,0,7.3,N/A,N,N/A,6,N/A,Yes,Yes,No,No
Biggles: The Making of a Movie,1985,movie,N/A,25,"Documentary, Short","Quentin Falk, Bill Rudgard",English,UK,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,Yes,No,No,No
The Transformers: The Movie,1986,movie,08 Aug 1986,84,"Animation, Action, Adventure",Nelson Shin,"English, Japanese","United States, Japan",N/A,2 nominations,2,0,7.2,62%,43,43,"42,841","$5,849,647",Yes,Yes,No,Yes
My Little Pony: The Movie,1986,movie,06 Jun 1986,86,"Animation, Adventure, Family","Mike Joens, Gerry Chiniquy, Ray Lee",English,"United States, Italy, South Korea",N/A,N/A,0,0,5.9,N/A,23,23,"2,926","$5,958,456",Yes,No,No,Yes
Care Bears Movie II: A New Generation,1986,movie,21 Mar 1986,76,"Animation, Adventure, Comedy",Dale Schott,English,"Canada, United States, Taiwan",N/A,1 nomination,1,0,5.5,N/A,N,N/A,"2,552","$8,540,346",Yes,No,No,Yes
Kung Fu: The Movie,1986,movie,01 Feb 1986,89,"Adventure, Drama, Western",Richard Lang,English,United States,N/A,N/A,0,0,6.1,N/A,N,N/A,992,N/A,Yes,No,No,No
A King and His Movie,1986,movie,28 Aug 1986,107,"Comedy, Drama",Carlos Sorin,Spanish,Argentina,N/A,9 wins & 2 nominations,2,9,7.0,N/A,N,N/A,476,N/A,Yes,No,No,No
Robotech: The Movie,1986,movie,08 Jan 1987,87,"Animation, Action, Music","Noboru Ishiguro, Carl Macek","English, Japanese","Japan, United States",N/A,N/A,0,0,6.2,N/A,N,N/A,467,N/A,Yes,Yes,No,Yes
Heathcliff: The Movie,1986,movie,17 Jan 1986,73,"Family, Animation, Comedy",Bruno Bianchi,English,"Canada, France, United States",N/A,N/A,0,0,5.5,N/A,N,N/A,315,"$2,610,686",Yes,No,No,Yes
InHumanoids: The Movie,1986,movie,N/A,85,"Action, Animation, Sci-Fi, Thriller",Ray Lee,English,USA,N/A,N/A,0,0,7.4,N/A,N,N/A,100,N/A,Yes,No,No,No
The Great Movie Robbery,1986,movie,N/A,77,"Comedy, Sci-Fi","Oldrich Lipský, Zdenek Podskalský",Czech,Czechoslovakia,N/A,N/A,0,0,5.4,N/A,N,N/A,91,N/A,Yes,No,No,No
Captain Tsubasa Movie 04: The Great World Competition! The Junior World Cup,1986,movie,12 Jul 1986,57,"Animation, Family, Sport",Tatsuya Okamoto,Japanese,Japan,N/A,N/A,0,0,6.8,N/A,N,N/A,84,N/A,Yes,No,No,No
The Garbage Pail Kids Movie,1987,movie,07 Apr 1988,100,"Adventure, Comedy, Family",Rod Amateau,English,United States,N/A,4 nominations,4,0,2.7,0%,1,1,"8,901","$1,576,615",Yes,No,No,No
G.I. Joe: The Movie,1987,movie,14 Aug 1987,93,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",Don Jurwich,English,"Japan, USA",N/A,N/A,0,0,7.1,43%,N,N/A,"5,136",N/A,Yes,No,No,Yes
Beaks: The Movie,1987,movie,25 Aug 1988,100,"Horror, Thriller",René Cardona Jr.,English,Mexico,N/A,N/A,0,0,3.6,N/A,N,N/A,874,N/A,Yes,No,No,No
Thundercats Ho! The Movie,1987,movie,16 Nov 1987,91,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",Katsuhito Akiyama,English,USA,N/A,N/A,0,0,8.1,N/A,N,N/A,426,N/A,Yes,No,No,No
The Puppetoon Movie,1987,movie,12 Jun 1987,79,"Animation, Family",Arnold Leibovit,English,United States,N/A,1 win,0,1,7.1,80%,N,N/A,299,N/A,Yes,No,No,No
Movie in Action,1987,movie,01 Feb 1988,85,"Action, War",Teddy Page,English,Philippines,N/A,N/A,0,0,6.8,N/A,N,N/A,83,N/A,Yes,No,No,No
New York Yankees (the Movie),1987,movie,N/A,96,"Documentary, History, Sport",Lawrence Miller,English,United States,N/A,N/A,0,0,6.7,N/A,N,N/A,55,N/A,Yes,No,No,No
Beirut: The Last Home Movie,1987,movie,25 Feb 1991,123,Documentary,Jennifer Fox,"English, Arabic, French",United States,N/A,5 wins,0,5,6.8,N/A,N,N/A,50,N/A,No,Yes,No,No
Australian Made: The Movie,1987,movie,02 Jul 1987,79,"Documentary, History, Music",Richard Lowenstein,English,Australia,Village Roadshow,N/A,0,0,7.6,N/A,N,N/A,42,N/A,Yes,No,No,No
Life Flight: The Movie,1987,movie,N/A,87,N/A,Donald W. Thompson,English,United States,N/A,N/A,0,0,6.3,N/A,N,N/A,29,N/A,No,No,No,No
Felix the Cat: The Movie,1988,movie,11 May 1989,82,"Animation, Adventure, Comedy",Tibor Hernádi,English,"United States, Germany, Hungary, Poland, Bulgaria, Canada",N/A,N/A,0,0,4.6,N/A,N,N/A,"1,609",N/A,Yes,No,No,Yes
Midnight Movie Massacre,1988,movie,14 May 1988,85,"Comedy, Horror, Sci-Fi","Laurence Jacobs, Mark Stock",English,United States,N/A,N/A,0,0,3.0,N/A,N,N/A,255,N/A,Yes,No,No,No
Bar-B-Que Movie,1988,movie,N/A,11,Short,Alex Winter,English,United States,N/A,N/A,0,0,7.2,N/A,N,N/A,126,N/A,No,No,No,No
U2: The Making of the Movie 'Rattle and Hum',1988,movie,N/A,N/A,"Documentary, Music",N/A,N/A,N/A,N/A,N/A,0,0,7.2,N/A,N,N/A,33,N/A,Yes,No,No,No
The Violence Movie,1988,movie,01 Oct 2017,14,"Short, Comedy",Eric D. Wilkinson,English,United States,N/A,N/A,0,0,6.3,N/A,N,N/A,32,N/A,Yes,No,No,No
Sakigake!! Otokojuku Movie,1988,movie,23 Jun 1988,71,"Animation, Action, Comedy",Tetsuo Imazawa,Japanese,Japan,N/A,N/A,0,0,6.1,N/A,N,N/A,29,N/A,Yes,No,No,No
Starlight: A Musical Movie,1988,movie,N/A,78,Musical,Orin Wechsberg,English,United States,N/A,N/A,0,0,6.4,N/A,N,N/A,25,N/A,No,No,No,No
The Oberlin Obertones Movie,1988,movie,16 Apr 1988,9,"Short, Comedy",Rob Faludi,English,USA,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,Yes,No,No,No
Patlabor: The Movie,1989,movie,15 Jul 1989,100,"Animation, Action, Crime","Mamoru Oshii, Kôji Sawai","Japanese, English",Japan,N/A,N/A,0,0,7.0,N/A,N,N/A,"5,773",N/A,Yes,Yes,No,No
Babar: The Movie,1989,movie,28 Jul 1989,70,"Animation, Adventure, Family",Alan Bunce,"English, French","Canada, France, United States, South Korea",N/A,3 nominations,3,0,6.3,N/A,N,N/A,"1,142","$1,305,187",Yes,Yes,No,Yes
Wrath of the Ninja: The Yotoden Movie,1989,movie,27 May 1989,97,"Animation, Action, Adventure","Toshiyuki Sakurai, Osamu Yamasaki",Japanese,Japan,N/A,N/A,0,0,5.5,N/A,N,N/A,485,N/A,Yes,No,No,No
Crossbow: The Movie,1989,movie,N/A,95,"Action, Adventure",George Mihalka,English,"France, UK",N/A,N/A,0,0,6.7,N/A,N,N/A,71,N/A,Yes,No,No,Yes
Marley's Revenge: The Monster Movie,1989,movie,30 Sep 1989,83,"Comedy, Horror",Jet Eller,N/A,United States,N/A,N/A,0,0,6.0,N/A,N,N/A,43,N/A,Yes,No,No,No
No Holds Barred: The Match/The Movie,1989,movie,27 Dec 1989,131,Sport,N/A,English,United States,N/A,N/A,0,0,5.8,N/A,N,N/A,31,N/A,No,No,No,No
Regal Shocker (The Movie),1989,movie,N/A,110,Horror,Jose Javier Reyes,"Filipino, Tagalog",Philippines,N/A,N/A,0,0,6.1,N/A,N,N/A,30,N/A,No,Yes,No,No
Kidou Keiji Jiban the Movie,1989,movie,15 Jul 1989,25,"Short, Sci-Fi",Konishi Mitio,Japanese,Japan,N/A,N/A,0,0,8.8,N/A,N,N/A,20,N/A,Yes,No,No,No
Kousoku Sentai Turboranger: The Movie,1989,movie,18 Mar 1989,25,"Short, Action",Takao Nagaishi,Japanese,Japan,N/A,N/A,0,0,N/A,N/A,N,N/A,12,N/A,Yes,No,No,No
DuckTales the Movie: Treasure of the Lost Lamp,1990,movie,03 Aug 1990,74,"Animation, Adventure, Comedy",Bob Hathcock,English,"France, United States, United Kingdom",N/A,1 nomination,1,0,6.8,100%,N,N/A,"29,123","$18,115,724",Yes,No,No,Yes
Tales from the Darkside: The Movie,1990,movie,04 May 1990,93,"Comedy, Fantasy, Horror",John Harrison,English,United States,N/A,1 win,0,1,6.2,46%,54,54,"19,833","$16,324,573",Yes,No,No,No
Jetsons: The Movie,1990,movie,06 Jul 1990,82,"Animation, Comedy, Family","Iwao Takamoto, Joseph Barbera, William Hanna",English,"United States, Taiwan, Philippines, China",N/A,1 nomination,1,0,5.5,27%,46,46,"5,829","$20,305,841",Yes,No,No,Yes
Chibi Maruko-chan Movie,1990,movie,15 Dec 1990,94,"Animation, Comedy, Family","Tsutomu Shibayama, Yumiko Suda",Japanese,Japan,N/A,N/A,0,0,6.8,N/A,N,N/A,96,N/A,Yes,No,No,No
"Please Hammer, Don't Hurt 'Em: The Movie",1990,movie,N/A,60,Music,Rupert Wainwright,English,USA,N/A,1 win.,0,1,6.6,N/A,N,N/A,47,N/A,No,No,No,No
Making of Dreams: A Movie Conversation between Akira Kurosawa and Nobuhiko Obayashi,1990,movie,02 Nov 1990,150,Documentary,Nobuhiko Ôbayashi,Japanese,Japan,N/A,N/A,0,0,7.6,N/A,N,N/A,43,N/A,No,No,No,No
It's Only a Movie!,1990,movie,N/A,N/A,Comedy,Joe Zaso,English,United States,N/A,N/A,0,0,3.1,N/A,N,N/A,28,N/A,No,No,No,No
DuckTales: The Movie Special,1990,movie,01 Aug 1990,30,Family,"Adam Small, Barbara Williams",English,USA,N/A,N/A,0,0,7.2,N/A,N,N/A,24,N/A,No,No,No,No
Surfers: The Movie,1990,movie,N/A,87,Documentary,Bill Delaney,English,United States,N/A,N/A,0,0,6.9,N/A,N,N/A,19,N/A,No,No,No,No
The Violence Movie 2,1990,movie,N/A,19,"Short, Horror",Eric D. Wilkinson,English,United States,N/A,N/A,0,0,N/A,N/A,N,N/A,6,N/A,Yes,No,No,No
Scary Movie,1991,movie,01 Apr 1991,82,"Comedy, Horror, Thriller",Daniel Erickson,English,United States,N/A,1 win,0,1,4.9,N/A,N,N/A,"1,116",N/A,Yes,No,No,No
